"lon","lat"
-93.2622135454545,44.936554
-93.2580757272727,44.936554
-93.2539379090909,44.936554
-93.2498000909091,44.936554
-93.2704891818182,44.938992
-93.2663513636364,44.938992
-93.2622135454545,44.938992
-93.2580757272727,44.938992
-93.2539379090909,44.938992
-93.2498000909091,44.938992
-93.2456622727273,44.938992
-93.2415244545455,44.938992
-93.2373866363636,44.938992
-93.2332488181818,44.938992
-93.2704891818182,44.94143
-93.2663513636364,44.94143
-93.2622135454545,44.94143
-93.2580757272727,44.94143
-93.2539379090909,44.94143
-93.2498000909091,44.94143
-93.2456622727273,44.94143
-93.2415244545455,44.94143
-93.2373866363636,44.94143
-93.2332488181818,44.94143
-93.2704891818182,44.943868
-93.2663513636364,44.943868
-93.2622135454545,44.943868
-93.2580757272727,44.943868
-93.2539379090909,44.943868
-93.2498000909091,44.943868
-93.2456622727273,44.943868
-93.2415244545455,44.943868
-93.2373866363636,44.943868
-93.2332488181818,44.943868
-93.2704891818182,44.946306
-93.2663513636364,44.946306
-93.2622135454545,44.946306
-93.2580757272727,44.946306
-93.2539379090909,44.946306
-93.2498000909091,44.946306
-93.2456622727273,44.946306
-93.2415244545455,44.946306
-93.2373866363636,44.946306
-93.2332488181818,44.946306
-93.2622135454545,44.948744
-93.2580757272727,44.948744
-93.2539379090909,44.948744
-93.2498000909091,44.948744
-93.2456622727273,44.948744
-93.2415244545455,44.948744
-93.2622135454545,44.951182
-93.2580757272727,44.951182
-93.2539379090909,44.951182
-93.2498000909091,44.951182
-93.2456622727273,44.951182
-93.2415244545455,44.951182
-93.2622135454545,44.95362
-93.2580757272727,44.95362
-93.2539379090909,44.95362
-93.2498000909091,44.95362
-93.2456622727273,44.95362
-93.2622135454545,44.956058
-93.2580757272727,44.956058
-93.2539379090909,44.956058
-93.2498000909091,44.956058
-93.2456622727273,44.956058
-93.2622135454545,44.958496
-93.2580757272727,44.958496
-93.2539379090909,44.958496
-93.2498000909091,44.958496
-93.2456622727273,44.958496
