X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.29067088517,44.9456641976625,0031XX BRYANT AVE S,MP202321076,5,2023/01/27 00:00:00+00,1147,2023/01/27 00:00:00+00,2023/01/27 11:47:00+00,1108,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.29067,44.94566,-10385069.978749,5612971.47837599,South Uptown,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1194
-93.2268096282658,44.9381479520755,0035XX MINNEHAHA AVE,MP202321100,3,2023/01/27 00:00:00+00,1930,2023/01/27 00:00:00+00,2023/01/27 19:30:00+00,900,DASLT2,2ND DEG DOMES ASLT,05 ,2023/01/28 00:00:00+00,,-93.22681,44.93815,-10377960.9761383,5611789.39731304,Howe,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1195
-93.2113537374084,44.9117277267372,0050XX 43RD AVE S,MP202321157,3,2023/01/27 00:00:00+00,1440,2023/01/25 00:00:00+00,2023/01/27 14:40:00+00,1500,TFMV,THEFT FROM MOTR VEHC,07 ,2023/01/28 00:00:00+00,,-93.21135,44.91173,-10376240.4341526,5607635.51175141,Minnehaha,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1196
-93.2473201748352,45.0001972282695,0012XX CENTRAL AVE NE,MP202321165,2,2023/01/27 00:00:00+00,1400,2023/01/20 00:00:00+00,2023/01/27 14:00:00+00,1730,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.24732,45.0002,-10380244.1997429,5621552.53581964,Northeast Park,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1197
-93.2347243015519,44.9510813400921,0028XX 26TH AVE S,MP202321197,3,2023/01/27 00:00:00+00,1512,2023/01/27 00:00:00+00,2023/01/27 15:12:00+00,1200,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.23472,44.95108,-10378842.0335049,5613823.52919786,Longfellow,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1198
-93.2946646862271,44.8987641825263,0057XX EMERSON AVE S,MP202321229,5,2023/01/27 00:00:00+00,1449,2023/01/22 00:00:00+00,2023/01/27 14:49:00+00,2000,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.29466,44.89876,-10385514.5666423,5605598.03381278,Kenny,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1199
-93.2214629625942,44.9721780303494,0025XX DELAWARE ST SE,MP202321266,2,2023/01/27 00:00:00+00,1907,2023/01/22 00:00:00+00,2023/01/27 19:07:00+00,100,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.22146,44.97218,-10377365.7879524,5617142.54940905,Prospect Park - East River Road,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1200
-93.2511518120172,44.9744716844438,0012XX WASHINGTON AVE S,MP202321267,1,2023/01/27 00:00:00+00,1608,2023/01/27 00:00:00+00,2023/01/27 16:08:00+00,1525,TFMV,THEFT FROM MOTR VEHC,07 ,2023/01/28 00:00:00+00,,-93.25115,44.97447,-10380670.7355956,5617503.47034713,Downtown East,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1201
-93.3042614827304,45.0484637610981,0051XX LOGAN AVE N,MP202321278,4,2023/01/27 00:00:00+00,1834,2023/01/27 00:00:00+00,2023/01/27 18:34:00+00,1834,THEFT,OTHER THEFT,07 ,2023/01/28 00:00:00+00,,-93.30426,45.04846,-10386582.8770759,5629154.34302716,Shingle Creek,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1202
-93.2473373730813,45.0140658641325,0025XX CENTRAL AVE NE,MP202321279,2,2023/01/27 00:00:00+00,1538,2023/01/27 00:00:00+00,2023/01/27 15:38:00+00,1538,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.24734,45.01407,-10380246.1141705,5623736.14049586,Audubon Park,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1203
-93.3019116228978,45.0159065929184,0033XX KNOX AVE N,MP202321287,4,2023/01/28 00:00:00+00,1942,2023/01/28 00:00:00+00,2023/01/28 19:42:00+00,1942,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.30191,45.01591,-10386321.2919459,5624026.00137348,Folwell,2023/01/30 00:00:00+00,2023/01/31 07:50:20+00,1204
-93.2931445768662,45.026687513326,0039XX DUPONT AVE N,MP202321300,4,2023/01/27 00:00:00+00,1850,2023/01/27 00:00:00+00,2023/01/27 18:50:00+00,930,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.29314,45.02669,-10385345.3487971,5625723.86789796,Webber - Camden,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1205
-93.253134900499,44.9627317793616,0015XX FRANKLIN AVE E,MP202321338,3,2023/01/27 00:00:00+00,1716,2023/01/08 00:00:00+00,2023/01/27 17:16:00+00,0,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.25313,44.96273,-10380891.4920427,5615656.27446191,Ventura Village,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1206
-93.2299220625532,44.954677592489,0026XX 29TH AVE S,MP202321347,3,2023/01/27 00:00:00+00,1734,2023/01/26 00:00:00+00,2023/01/27 17:34:00+00,2030,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.22992,44.95468,-10378307.4506729,5614389.22050791,Seward,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1207
-93.2606878761191,44.9555307813506,0009XX 26TH ST E,MP202321356,3,2023/01/27 00:00:00+00,1748,2023/01/27 00:00:00+00,2023/01/27 17:48:00+00,1700,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.26069,44.95553,-10381732.285372,5614523.43252036,Midtown Phillips,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1208
-93.290638634753,44.9492023503831,0029XX BRYANT AVE S,MP202321367,5,2023/01/27 00:00:00+00,1922,2023/01/27 00:00:00+00,2023/01/27 19:22:00+00,1600,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.29064,44.9492,-10385066.38859,5613527.97778945,Lowry Hill East,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1209
