"beta0","beta1","beta2","beta3"
0,0,0,0
0,0,-0.062714099052421,0
0,-0.278788766817371,-0.196035435446079,0
0,-2.71925569539289,-0.196035435446079,-0.161698647607024
0,-2.71925569539289,-0.196035435446079,-0.418968030375953
-1.76316308519478,-2.71925569539289,-0.196035435446079,-0.418968030375953
-2.64299961372588,-2.71925569539289,-1.91304411451942,-1.20342703875545
-3.4939072079024,-5.13346334533952,-1.91304411451942,-2.20653159307679
-3.4939072079024,-5.8601681724161,-1.91304411451942,-2.20653159307679
-3.4939072079024,-5.8601681724161,-1.59111884931548,-2.20653159307679
-3.4939072079024,-5.8601681724161,-1.59111884931548,-2.20653159307679
-3.4939072079024,-6.08607967555762,-1.36440130568379,-2.20653159307679
-3.4939072079024,-6.08607967555762,-1.36440130568379,-2.20653159307679
-3.4939072079024,-6.08607967555762,-1.36440130568379,-2.20653159307679
-3.4939072079024,-6.08607967555762,-1.36440130568379,-2.20653159307679
-3.4939072079024,-6.08607967555762,-1.36440130568379,-2.25590683189507
-3.4939072079024,-6.08607967555762,-1.36440130568379,-2.25590683189507
-3.4939072079024,-6.08607967555762,-1.36440130568379,-2.25590683189507
-3.4939072079024,-6.08607967555762,-1.36440130568379,-2.25590683189507
-3.4939072079024,-6.08607967555762,-1.24524034768679,-2.25590683189507
-3.4939072079024,-6.08607967555762,-1.24524034768679,-2.25590683189507
-3.4939072079024,-5.94882345699901,-1.09062440394618,-2.25590683189507
-3.4939072079024,-5.94882345699901,-1.09062440394618,-2.25590683189507
-3.4939072079024,-5.94882345699901,-1.09062440394618,-2.25590683189507
-3.4939072079024,-5.94882345699901,-1.33419211688079,-2.25590683189507
-3.4939072079024,-5.94882345699901,-1.33419211688079,-2.25590683189507
-3.4939072079024,-5.94882345699901,-1.37489059203201,-2.25590683189507
-3.4939072079024,-5.94882345699901,-1.37489059203201,-2.25590683189507
-3.4939072079024,-6.12434932724114,-1.37489059203201,-2.25590683189507
-3.4939072079024,-6.12434932724114,-1.42411051876143,-2.25590683189507
-3.4939072079024,-6.12434932724114,-1.42411051876143,-2.25590683189507
-3.4939072079024,-6.12434932724114,-1.42411051876143,-2.25590683189507
-3.4939072079024,-6.12434932724114,-1.42411051876143,-2.25590683189507
-3.4939072079024,-5.9193907466535,-1.42411051876143,-2.25590683189507
-3.4939072079024,-5.9193907466535,-1.42411051876143,-2.25590683189507
-3.4939072079024,-6.12442770816356,-1.42411051876143,-2.25590683189507
-3.4939072079024,-6.12442770816356,-1.42411051876143,-2.25590683189507
-3.4939072079024,-6.12442770816356,-1.38669533264346,-2.25590683189507
-3.4939072079024,-6.12442770816356,-1.38669533264346,-2.25590683189507
-3.4939072079024,-6.12442770816356,-0.976088292528206,-2.25590683189507
-3.4939072079024,-6.12442770816356,-0.976088292528206,-2.25590683189507
-3.4939072079024,-6.12442770816356,-0.731862441424756,-2.25590683189507
-3.4939072079024,-6.12442770816356,-0.731862441424756,-2.29560283014844
-3.4939072079024,-6.12442770816356,-0.731862441424756,-2.24655237921084
-3.4939072079024,-6.12442770816356,-0.731862441424756,-2.24655237921084
-3.4939072079024,-6.12442770816356,-0.731862441424756,-2.24655237921084
-3.4939072079024,-6.12442770816356,-0.731862441424756,-2.24655237921084
-3.4939072079024,-6.12442770816356,-1.48770126081391,-2.24655237921084
-3.4939072079024,-6.12442770816356,-0.739387114488262,-2.24655237921084
-3.4939072079024,-6.12442770816356,-0.739387114488262,-2.24655237921084
-3.4939072079024,-6.12442770816356,-0.739387114488262,-2.2951556311974
-3.4939072079024,-6.12442770816356,-0.739387114488262,-2.2951556311974
-3.59755830888748,-6.12442770816356,-0.700396201615699,-2.2951556311974
-3.59755830888748,-5.64205824205902,-0.700396201615699,-2.2951556311974
-3.66852049013748,-5.64205824205902,-0.700396201615699,-2.2951556311974
-3.66852049013748,-5.64205824205902,-0.652561833716717,-2.2951556311974
-3.66852049013748,-5.64229891094546,-0.652561833716717,-2.2951556311974
-3.66852049013748,-5.64229891094546,-0.652561833716717,-2.2951556311974
-3.66852049013748,-5.64229891094546,-0.652561833716717,-2.2951556311974
-3.66852049013748,-5.64229891094546,-0.652561833716717,-2.2951556311974
-3.66852049013748,-5.64229891094546,-0.652561833716717,-2.2951556311974
